IndependentVariable,DependentVariable,DependentVariableSlug,CpusPerNode,NumSimelsPerCpu,SlopeEstimate,SlopeEstimate95CILowerBound,SlopeEstimate95CIUpperBound,AbsoluteEffectSize,AbsoluteEffectSize95CILowerBound,AbsoluteEffectSize95CIUpperBound,AbsoluteEffectSize95CIWidth,RelativeEffectSize,RelativeEffectSize95CILowerBound,RelativeEffectSize95CIUpperBound,RelativeEffectSize95CIWidth,InterceptEstimate,InterceptEstimate95CILowerBound,InterceptEstimate95CIUpperBound,R2,p,Significant,SignificantEffectSign,n,Filter,NumProcesses,NumProcessesPrettyprint,RegressionModel,RegressionModelSlug,Statistic
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,4,2048,-0.0031,-0.059,0.053,-0.0031,-0.059,0.053,0.11,-0.0023,-0.044,0.04,0.084,1.3,1.2,1.5,nan,0.91,False,0,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,4,2048,-0.003,-0.063,0.057,-0.003,-0.063,0.057,0.12,-0.0022,-0.047,0.042,0.089,1.4,1.2,1.5,nan,0.92,False,0,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Failure Rate,delivery-failure-rate,4,2048,0,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,nan,nan,NaN,NaN,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Delivery Clumpiness,delivery-clumpiness,4,2048,0.019,-0.024,0.061,0.019,-0.024,0.061,0.085,0.057,-0.072,0.19,0.26,0.29,0.16,0.42,nan,0.37,False,0,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Inlet (ns),simstep-period-inlet-ns,4,2048,140'000,27'000,250'000,140'000,27'000,250'000,220'000,0.087,0.017,0.16,0.14,1.3e+06,970'000,1.6e+06,nan,0.016,True,+,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Simstep Period Outlet (ns),simstep-period-outlet-ns,4,2048,140'000,28'000,240'000,140'000,28'000,240'000,220'000,0.088,0.018,0.16,0.14,1.3e+06,950'000,1.6e+06,nan,0.015,True,+,30,lambda row: True,16_64_256,16/64/256,Quantile Regression,quantile-regression,median
Log Num Processes,Latency Walltime Inlet (ns),latency-walltime-inlet-ns,1,1,-63'000,-92'000,-34'000,-63'000,-92'000,-34'000,58'000,-0.11,-0.16,-0.061,0.1,690'000,610'000,760'000,0.54,0.00024,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Walltime Outlet (ns),latency-walltime-outlet-ns,1,1,-65'000,-95'000,-36'000,-65'000,-95'000,-36'000,59'000,-0.12,-0.17,-0.063,0.1,700'000,620'000,770'000,0.54,0.00021,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Inlet,latency-simsteps-inlet,1,1,-2,-2.6,-1.4,-2,-2.6,-1.4,1.2,-0.24,-0.31,-0.17,0.15,12,11,14,0.72,2e-06,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
Log Num Processes,Latency Simsteps Outlet,latency-simsteps-outlet,1,1,-2,-2.7,-1.4,-2,-2.7,-1.4,1.2,-0.24,-0.32,-0.17,0.15,12,11,14,0.72,1.9e-06,True,-,20,lambda row: row['Num Processes'] in [16]+[64],16_64,16/64,Ordinary Least Squares Regression,ordinary-least-squares-regression,mean
